iter	Passed	Remaining
0	189	142220
1	216	81141
2	245	61177
3	275	51391
4	302	45065
5	320	39691
6	346	36789
7	372	34585
8	399	32880
9	427	31646
10	446	30019
11	472	29084
12	495	28088
13	513	26985
14	539	26413
15	564	25916
16	583	25164
17	614	24985
18	640	24652
19	658	24032
20	686	23834
21	712	23586
22	739	23381
23	761	23029
24	778	22575
25	808	22511
26	842	22557
27	874	22551
28	906	22535
29	941	22598
30	968	22456
31	994	22309
32	1026	22295
33	1042	21964
34	1091	22307
35	1122	22260
36	1148	22134
37	1176	22051
38	1203	21934
39	1229	21815
40	1255	21712
41	1281	21606
42	1304	21443
43	1330	21346
44	1356	21249
45	1382	21159
46	1410	21094
47	1437	21018
48	1463	20939
49	1489	20855
50	1516	20778
51	1542	20701
52	1568	20622
53	1605	20695
54	1618	20456
55	1640	20325
56	1657	20157
57	1683	20091
58	1710	20027
59	1735	19962
60	1762	19905
61	1788	19843
62	1813	19779
63	1843	19763
64	1876	19778
65	1908	19778
66	1941	19786
67	1972	19782
68	1992	19667
69	2024	19667
70	2055	19654
71	2092	19700
72	2125	19710
73	2154	19682
74	2188	19696
75	2212	19621
76	2239	19576
77	2269	19548
78	2296	19504
79	2322	19453
80	2342	19346
81	2368	19298
82	2382	19145
83	2422	19209
84	2448	19156
85	2506	19355
86	2533	19304
87	2561	19266
88	2588	19221
89	2615	19178
90	2642	19132
91	2656	18998
92	2683	18954
93	2706	18885
94	2728	18811
95	2747	18714
96	2775	18682
97	2819	18761
98	2845	18712
99	2872	18671
100	2894	18599
101	2923	18570
102	2948	18520
103	2980	18514
104	3012	18504
105	3046	18506
106	3078	18500
107	3108	18476
108	3139	18464
109	3173	18463
110	3204	18445
111	3231	18406
112	3258	18369
113	3300	18414
114	3329	18386
115	3357	18351
116	3385	18317
117	3414	18286
118	3442	18255
119	3470	18219
120	3496	18176
121	3515	18094
122	3532	18009
123	3559	17967
124	3585	17926
125	3611	17885
126	3637	17842
127	3665	17811
128	3694	17784
129	3712	17706
130	3738	17664
131	3764	17623
132	3790	17584
133	3817	17547
134	3843	17508
135	3862	17436
136	3890	17407
137	3911	17344
138	3936	17305
139	3970	17300
140	4002	17286
141	4038	17293
142	4070	17276
